;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Бабель И.Э.;История моей голубятни;Версты;Париж;журнал;№1;1926;;проза ;;;58—67;1926;;Изд. Земля и Фабрика;;
;Белый А.;Москва под ударом;Версты;Париж;журнал;№2;1927;;проза ;отрывок;Москва под ударом;104—114;;;;;
;Веселый А.;Вольница;Версты;Париж;журнал;№1;1926;;проза ;;;68—81;1925;;Леф;№1 (5);
;Веселый А.;Страна Родная;Версты;Париж;журнал;№2;1927;;проза ;отрывок;Восстание;84—92;;;;;
;Есенин С.А.;Какая ночь! Я не могу;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;7—8;1926;;Новый мир;№2;
;Есенин С.А.;Не гляди на меня с упреком;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;8—9;1926;;Новый мир;№2;
;Есенин С.А.;Ты меня не любишь, не жалеешь;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;9—10;1926;;Новый мир;№2;
;Есенин С.А.;Может поздно, может слишком рано ;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;10—11;1926;;Новый мир;№2;
;Пастернак Б.Л.;1905 год ;Версты;Париж;журнал;№1;1926;;стихи;отрывок;Потемкин ;20—22;1926;;Новый мир;№2;
;Сельвинский И.Л.;Казнь стецюры;Версты;Париж;журнал;№1;1926;;стихи (новелла);полный текст;;23—26;;;Сборник литературного центра конструктивистов;;
;Сельвинский И.Л.;Казачья походная;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;27;;;"Круг 
";;
;Сельвинский И.Л.;Цыганская ;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;28;1924;;"Мена всех Поэты конструктивисты 
";;
;Сельвинский И.Л.;Цыганский вальс на гитаре ;Версты;Париж;журнал;№1;1926;;стихи;полный текст;;29;1924;;"Мена всех Поэты конструктивисты 
";;
;Тынянов Ю. ;Кюхля;Версты;Париж;журнал; №2;1927;;проза ;отрывок;Конец;92—104;;;;;
;Ахматова А.А.;Земной отрадой сердца не томи;Накануне ;Берлин;Литературное приложение ;№29(№1);1922;30.04.;стихи;полный текст;;1;;;;;
;Ахматова А.А.;Как мог ты, сильный и свободный;Накануне ;Берлин;Литературное приложение ;№29(№1);1922;30.04.;стихи;полный текст;;1;;;;;
;Мариенгоф А.;Без шляпы;Накануне ;Берлин;Литературное приложение ;№34(№2);1922;07.05.;стихи;отрывок;;1;;;;;
;Короленко В.Г.;Письма В. Г.  Короленко — М. Горькому;Накануне ;Берлин;Литературное приложение ;№34(№2);1922;07.05.;проза ;полный текст;;4;Время написания—27 июля 1921;;;;
;Есенин С.А.;Все живое особой метой;Накануне ;Берлин;Литературное приложение ;№40 (№3);1922;14.05.;стихи;полный текст;;1;;;;;«переданы сегодня 11-го мая, в 1 ч.дня автором вылетевшим вчера в 9 час утра из Москва на аэроплане»
;Есенин С.А.;;Накануне ;Берлин;Литературное приложение ;№40 (№3);1922;14.05.;стихи;полный текст;;1;;;;;«переданы сегодня 11-го мая, в 1 ч.дня автором вылетевшим вчера в 9 час утра из Москва на аэроплане»
;Розанов В.В. ;Из писем В. В. Розанова;Накануне ;Берлин;Литературное приложение ;№40 (№3);1922;14.05.;эго-документ;полный текст;;1—4;;;;;
;"Пильняк Б.А.
";Отрывок без названия;Накануне ;Берлин;Литературное приложение ;№40 (№3);1922;14.05.;проза ;полный текст;;7;;;;;Москва, апрель 1922
;Есенин С.А.;Сторона ты моя, сторона;Накануне ;Берлин;Литературное приложение ;№46 (№4);1922;21.05.;стихи;полный текст;;1;;;;;
;Короленко В.Г.;Письма В. Г.  Короленко — М. Горькому;Накануне ;Берлин;Литературное приложение ;№46 (№4);1922;21.05.;стихи;полный текст;;3—4;;;;;
;Мандельштам О.;Люблю под сводами седыя тишины;Накануне ;Берлин;Литературное приложение ;№51(№5);1922;28.05.;стихи;полный текст;;;;;;;
;Пильняк Б.А.;В охотничьем избе;Накануне ;Берлин;Литературное приложение ;№51(№5);1922;28.05.;проза;полный текст;;1—3;;;;;
;Орешин П.;Голод;Накануне ;Берлин;Литературное приложение ;№57(№6);1922;04.06.;стихи;полный текст;;1—2;;;;;Москва, 23.1.22
;Чуковский К.И.;Письмо К. И. Чуковского А. Н. Толстому;Накануне ;Берлин;Литературное приложение ;№57(№6);1922;04.06.;эго-документ;полный текст;;2—3;;;;;
;Чуковский Н.;Птенцов щеглах в крыльях прячет;Накануне ;Берлин;Литературное приложение ;№57(№6);1922;04.06.;стихи;полный текст;;3;;;;;
;Чуковский Н.;Засыпает сторож в будке;Накануне ;Берлин;Литературное приложение ;№57(№6);1922;04.06.;стихи;полный текст;;3;;;;;
;Мариенгоф А.;Другу на прощанье;Накануне ;Берлин;Литературное приложение ;№62(№7);1922;11.06.;стихи;полный текст;;1;;;;;
;Кусиков А.;Глаза слепые;Накануне ;Берлин;Литературное приложение ;№62(№7);1922;11.06.;стихи;полный текст;;1;;;;;Москва 1920
;Иванов Вс.;Дитё;Накануне ;Берлин;Литературное приложение ;№62(№7);1922;11.06.;проза;полный текст;;2—4;;;;;
;Орешин П.;Золотой чернозем;Накануне ;Берлин;Литературное приложение ;№69(№8);1922;18.06.;стихи;полный текст;;;;;;;
;Мандельштам О.;Умывался ночью на дворе;Накануне ;Берлин;Литературное приложение ;№69(№8);1922;18.06.;стихи;полный текст;;;;;;;
;Федин К.А.;Сад;Накануне ;Берлин;Литературное приложение ;№69(№8);1922;18.06.;проза;полный текст;;2—4;;;;;Рассказ Конст. Федина «сад» удостоен первой премии на литературном конкурсе Дома Литераторов, в Петербург, в 1921 году (подпись Петербург, 1919-20гг
;Булгаков М.М.;Записки на манжетах;Накануне ;Берлин;Литературное приложение ;№69(№8);1922;18.06.;проза;полный текст;;5—7;;;;;
;Мандельштам О.;Я в хоровод теней, топтавших нежный луг;Накануне ;Берлин;Литературное приложение ;№74(№9);1922;25.06.;стихи;полный текст;;1;;;;;
;Катаев В.;Самогон;Накануне ;Берлин;Литературное приложение ;№74(№9);1922;25.06.;стихи;полный текст;;1;;;;;Москва, 1922
;Неверов А.;Страшные вести;Накануне ;Берлин;Литературное приложение ;№74(№9);1922;25.06.;проза;полный текст;;2—3;;;;;
